Station,Latitude,Longitude,Elevation,Abbreviation
115326,42.2928,-88.6469,248.4,IL
115515,38.0844,-88.5425,135.9,IL
115712,40.9125,-89.0339,228.6,IL
115768,40.9247,-90.6392,227.1,IL
115833,41.8039,-89.9744,183.8,IL
115901,42.0981,-89.9842,195.1,IL
115943,38.3483,-88.8533,149.4,IL
116446,38.7003,-88.0819,146.3,IL
116526,41.3283,-88.9106,160,IL
116558,39.0028,-87.6225,140.2,IL
116579,39.3722,-89.0242,213.4,IL
116610,39.6356,-87.6933,207.3,IL
116738,39.8058,-90.8236,198.1,IL
116910,40.8853,-88.6389,198.1,IL
117551,40.1158,-90.5608,201.2,IL
118147,38.1167,-89.7167,163.1,IL
118740,40.0839,-88.2403,219.8,IL
118916,41.5519,-89.5989,210.3,IL
119241,39.4411,-90.3789,176.8,IL
119354,39.4381,-88.5986,210.3,IL
120177,40.1122,-85.7175,257.6,IN
120200,41.6397,-84.9897,307.8,IN
120676,40.6683,-84.9305,265.2,IN
120784,39.1742,-86.5214,253,IN
121030,39.4239,-85.0128,192,IN
121229,39.8667,-85.1833,304.8,IN
121425,38.4833,-85.7,167.6,IN
121747,39.1978,-85.9211,189.3,IN
121873,40.0028,-86.8011,256,IN
122149,40.615,-86.6661,169.5,IN
123418,41.5575,-85.8825,266.7,IN
123513,39.6439,-86.8767,224,IN
123527,39.7858,-85.7611,263.7,IN
124008,41.5422,-87.2881,195.1,IN
124181,40.8556,-85.4981,221,IN
124837,41.6117,-86.7297,257.6,IN
125237,38.7369,-85.3942,140.2,IN
125337,40.58,-85.6586,240.8,IN
126001,37.9286,-87.8956,108.8,IN
126580,38.8894,-86.5519,198.1,IN
126705,38.5556,-86.4858,170.7,IN
127125,38.3567,-87.5906,146.3,IN
127298,40.9356,-87.1564,198.1,IN
127482,41.0658,-86.2094,234.7,IN
127522,39.7594,-87.2269,211.2,IN
127646,39.6042,-85.4528,292.6,IN
127755,38.6111,-86.0889,243.8,IN
127875,38.6886,-85.785,173.7,IN
127935,38.9822,-85.9822,173.7,IN
128036,38.5528,-86.7944,154.2,IN
